icao24;callsign;origin_country;time_position;last_contact;longitude;latitude;baro_altitude;on_ground;velocity;true_track;vertical_rate;sensors;geo_altitude;squawk;spi;position_source
ab1644;UAL1564 ;United States;2025-05-22 22:22:04;2025-05-22 22:22:04;-85.7487;42.7416;7391.4;False;202.26;256.32;-4.88;;7376.16;3550;False;0
e8027b;LAN579  ;Chile;2025-05-22 22:17:17;2025-05-22 22:20:25;-79.8922;24.9049;6050.28;False;225.69;162.76;8.45;;6492.24;;False;0
801645;AIC2336 ;India;2025-05-22 22:22:04;2025-05-22 22:22:04;91.0397;20.2107;10652.76;False;242.15;122.95;-0.33;;11346.18;0522;False;0
ab6fdd;AAL1134 ;United States;2025-05-22 22:22:04;2025-05-22 22:22:04;-81.8063;36.4324;7299.96;False;223.35;151.07;-7.48;;7368.54;2342;False;0
8a02ff;CTV353  ;Indonesia;2025-05-22 22:18:47;2025-05-22 22:18:47;112.5586;-7.2468;1501.14;False;120.47;192.08;-2.6;;1562.1;;False;0
a34230;EJA309  ;United States;2025-05-22 22:22:04;2025-05-22 22:22:04;-113.736;37.4599;9883.14;False;239.23;32.08;4.88;;10279.38;;False;0
8744f6;ANA240  ;Japan;2025-05-22 22:22:04;2025-05-22 22:22:04;130.8242;33.3092;4244.34;False;189.66;84.55;10.4;;4450.08;;False;0
ac4963;DAL1244 ;United States;2025-05-22 22:22:04;2025-05-22 22:22:04;-112.5339;41.1924;5608.32;False;209.31;322.09;10.73;;5783.58;3371;False;0
a3ebe2;N3517S  ;United States;2025-05-22 22:22:04;2025-05-22 22:22:04;-104.7027;40.3553;2346.96;False;47.29;67.62;-0.33;;2407.92;;False;0
ab5cd1;FTH831  ;United States;2025-05-22 22:21:59;2025-05-22 22:21:59;-77.4554;38.9366;;True;0.0;132.19;;;;;False;0
a4d879;N411GM  ;United States;2025-05-22 22:20:26;2025-05-22 22:21:09;-89.9215;33.4704;6164.58;False;202.72;88.98;-12.35;;6362.7;;False;0
a58224;N454N   ;United States;2025-05-22 22:22:04;2025-05-22 22:22:04;-88.8111;37.6781;12192.0;False;217.98;226.63;0.33;;12397.74;;False;0
a36898;DAL1672 ;United States;2025-05-22 22:22:03;2025-05-22 22:22:04;-113.3104;37.8372;9144.0;False;228.49;196.88;0.0;;9517.38;;False;0
acdfa3;ASA506  ;United States;2025-05-22 22:22:04;2025-05-22 22:22:04;-85.8639;45.1611;10058.4;False;244.01;105.53;0.0;;9974.58;6417;False;0
a3a578;VJA334  ;United States;2025-05-22 22:22:04;2025-05-22 22:22:04;-82.4167;31.082;13106.4;False;255.72;147.24;0.0;;13555.98;1705;False;0
abacb1;;United States;2025-05-22 22:21:01;2025-05-22 22:21:04;-85.2807;42.3148;594.36;False;57.77;166.09;1.3;;556.26;;False;0
abacb6;SCX8720 ;United States;2025-05-22 22:22:04;2025-05-22 22:22:05;-82.1022;29.7379;7924.8;False;231.17;161.44;0.33;;8290.56;1571;False;0
a1befc;UAL2328 ;United States;2025-05-22 22:22:04;2025-05-22 22:22:04;-105.2366;41.0506;10972.8;False;221.91;245.34;0.0;;11292.84;7016;False;0
80160e;IGO1448 ;India;2025-05-22 22:22:04;2025-05-22 22:22:04;72.5927;19.562;11574.78;False;224.81;270.26;-0.33;;12275.82;;False;0
a5e550;N4793F  ;United States;2025-05-22 22:22:05;2025-05-22 22:22:05;-123.4971;48.1348;365.76;False;46.48;117.7;-2.93;;396.24;;False;0
ac231f;N881SC  ;United States;2025-05-22 22:18:37;2025-05-22 22:18:37;-118.3414;33.8052;30.48;False;13.12;295.56;0.0;;38.1;;False;0
ad5628;DAL3043 ;United States;2025-05-22 22:22:04;2025-05-22 22:22:04;-80.7834;28.0966;579.12;False;77.04;95.75;-2.93;;601.98;6564;False;0
acdfab;DAL967  ;United States;2025-05-22 22:22:04;2025-05-22 22:22:04;-84.2516;33.629;906.78;False;88.27;291.18;-1.3;;922.02;3453;False;0
a0e250;;United States;2025-05-22 22:18:41;2025-05-22 22:18:41;-77.5267;32.7218;10058.4;False;254.75;16.42;0.0;;10393.68;;False;0
407a05;EZY82EY ;United Kingdom;2025-05-22 22:22:04;2025-05-22 22:22:04;13.2379;36.492;4853.94;False;191.9;115.74;-7.8;;5074.92;;False;0
a0f56b;DISCUS4 ;United States;2025-05-22 22:22:04;2025-05-22 22:22:04;-102.4564;33.982;2903.22;False;52.81;54.92;-0.33;;3025.14;;False;0
a2ded8;SWA457  ;United States;2025-05-22 22:22:03;2025-05-22 22:22:04;-85.6425;33.8356;11582.4;False;195.46;248.7;0.0;;11902.44;2134;False;0
ad694c;SWA1716 ;United States;2025-05-22 22:22:04;2025-05-22 22:22:04;-91.824;41.4992;11582.4;False;207.89;262.89;0.0;;11696.7;7340;False;0
a34215;EDV5377 ;United States;2025-05-22 22:22:04;2025-05-22 22:22:04;-85.2171;33.0185;4556.76;False;179.37;24.21;0.33;;4709.16;3621;False;0
80161e;AKJ173F ;India;2025-05-22 22:22:04;2025-05-22 22:22:04;76.9664;14.9324;9784.08;False;224.87;340.49;4.88;;10340.34;;False;0
a2355d;SKW4178 ;United States;2025-05-22 22:22:04;2025-05-22 22:22:04;-93.1483;44.8506;480.06;False;67.24;301.87;-4.23;;502.92;;False;0
80166c;AIC2018 ;India;2025-05-22 22:22:04;2025-05-22 22:22:04;19.5167;46.7771;11277.6;False;256.9;114.61;0.0;;11422.38;5244;False;0
ab0351;VTE3904 ;United States;2025-05-22 22:22:04;2025-05-22 22:22:04;-77.4165;40.2114;7338.06;False;201.64;24.73;6.5;;7307.58;3677;False;0
e8023b;ARE4018 ;Chile;2025-05-22 22:21:59;2025-05-22 22:21:59;-74.6744;4.7988;6096.0;False;200.47;304.02;0.0;;6515.1;;False;0
44028c;EJU49MG ;Austria;2025-05-22 22:22:04;2025-05-22 22:22:04;-9.1432;38.7678;60.96;False;73.09;22.77;-4.23;;205.74;3350;False;0
adeca5;AAL2143 ;United States;2025-05-22 22:22:04;2025-05-22 22:22:04;-114.7361;33.5881;9395.46;False;259.3;99.59;2.6;;9814.56;2011;False;0
511188;MBU4QF  ;Estonia;2025-05-22 22:22:04;2025-05-22 22:22:04;2.7587;44.7342;11269.98;False;233.63;178.61;0.33;;11384.28;1132;False;0
aae32d;N800PL  ;United States;2025-05-22 22:17:19;2025-05-22 22:17:19;-80.2942;25.9124;22.86;False;63.38;86.74;-2.6;;22.86;7327;False;0
4acb02;NSZ4256 ;Sweden;2025-05-22 22:22:04;2025-05-22 22:22:04;15.0831;57.5642;11277.6;False;245.48;30.06;0.0;;11064.24;5344;False;0
a61815;N492FT  ;United States;2025-05-22 22:22:04;2025-05-22 22:22:04;-82.7116;29.2175;10363.2;False;222.5;4.77;-0.33;;10881.36;1470;False;0
4bc8c9;PGT656  ;Turkey;2025-05-22 22:19:04;2025-05-22 22:19:23;32.3727;40.1674;10058.4;False;247.82;106.03;0.0;;10363.2;;False;0
4bc8c7;PGT389B ;Turkey;2025-05-22 22:22:04;2025-05-22 22:22:04;0.897;52.0263;3550.92;False;138.12;266.58;-3.9;;3611.88;3234;False;0
c81bff;ZKJTC   ;New Zealand;2025-05-22 22:21:31;2025-05-22 22:21:31;176.734;-39.6712;91.44;False;32.43;221.78;-4.88;;144.78;;False;0
4bc8c5;PGT740  ;Turkey;2025-05-22 22:22:03;2025-05-22 22:22:04;50.6465;27.3172;10660.38;False;246.57;145.71;0.33;;11346.18;;False;0
a4757f;N387CB  ;United States;2025-05-22 22:22:04;2025-05-22 22:22:04;-87.9574;42.214;8854.44;False;183.16;276.13;-6.5;;8816.34;0502;False;0
a7bc8e;EJA598  ;United States;2025-05-22 22:22:04;2025-05-22 22:22:04;-74.8287;40.1125;1729.74;False;121.14;214.09;12.35;;1653.54;2311;False;0
ad5644;N959BW  ;United States;2025-05-22 22:22:04;2025-05-22 22:22:04;-88.6689;30.3291;731.52;False;78.28;42.6;-2.6;;777.24;4311;False;0
